***************************************************************************************************** 
* WARNING: The 2022 software stack is deprecated. Please consider switching to
the latest 2024 * 
* software stack, or the older 2023 software stack. * 
* * 
* If you have any question, please contact us via
http://servicedesk.surfsara.nl. * 
***************************************************************************************************** 
OpenMP parallelism
Running with OMP_NUM_THREADS = 128
CPUS:  128
Starting the program...

Iteration 962; Population 436
Iteration 963; Population 431
Iteration 964; Population 439
Iteration 965; Population 443
Iteration 966; Population 427
Iteration 967; Population 429
Iteration 968; Population 444
Iteration 969; Population 443
Iteration 970; Population 464
Iteration 971; Population 475
Iteration 972; Population 479
Iteration 973; Population 477
Iteration 974; Population 481
Iteration 975; Population 503
Iteration 976; Population 510
Iteration 977; Population 513
Iteration 978; Population 484
Iteration 979; Population 501
Iteration 980; Population 473
Iteration 981; Population 466
Iteration 982; Population 448
Iteration 983; Population 448
Iteration 984; Population 437
Iteration 985; Population 442
Iteration 986; Population 435
Iteration 987; Population 446
Iteration 988; Population 454
Iteration 989; Population 470
Iteration 990; Population 457
Iteration 991; Population 472
Iteration 992; Population 461
Iteration 993; Population 482
Iteration 994; Population 484
Iteration 995; Population 516
Iteration 996; Population 507
Iteration 997; Population 535
Iteration 998; Population 521
Iteration 999; Population 519
Iteration 1000; Population 513
Iteration 1001; Population 522
Iteration 1002; Population 530
Iteration 1003; Population 515
Iteration 1004; Population 530
Iteration 1005; Population 502
Iteration 1006; Population 547
Iteration 1007; Population 531
Iteration 1008; Population 549
Iteration 1009; Population 528
Iteration 1010; Population 507
Iteration 1011; Population 510
Iteration 1012; Population 543
Iteration 1013; Population 523
Iteration 1014; Population 537
Iteration 1015; Population 554
Iteration 1016; Population 542
Iteration 1017; Population 553
Iteration 1018; Population 539
Iteration 1019; Population 550
Iteration 1020; Population 575
Iteration 1021; Population 578
Iteration 1022; Population 571
Iteration 1023; Population 583
Iteration 1024; Population 590
Iteration 1025; Population 595
Iteration 1026; Population 572
Iteration 1027; Population 558
Iteration 1028; Population 548
Iteration 1029; Population 587
Iteration 1030; Population 535
Iteration 1031; Population 526
Iteration 1032; Population 522
Iteration 1033; Population 539
Iteration 1034; Population 522
Iteration 1035; Population 533
Iteration 1036; Population 563
Iteration 1037; Population 563
Iteration 1038; Population 556
Iteration 1039; Population 549
Iteration 1040; Population 566
Iteration 1041; Population 551
Iteration 1042; Population 543
Iteration 1043; Population 536
Iteration 1044; Population 545
Iteration 1045; Population 564
Iteration 1046; Population 567
Iteration 1047; Population 546
Iteration 1048; Population 541
Iteration 1049; Population 524
Iteration 1050; Population 519
Iteration 1051; Population 503
Iteration 1052; Population 526
Iteration 1053; Population 515
Iteration 1054; Population 521
Iteration 1055; Population 504
Iteration 1056; Population 484
Iteration 1057; Population 485
Iteration 1058; Population 480
Iteration 1059; Population 491
Iteration 1060; Population 490
Iteration 1061; Population 487
Iteration 1062; Population 476
Iteration 1063; Population 485
Iteration 1064; Population 481
Iteration 1065; Population 494
Iteration 1066; Population 492
Iteration 1067; Population 507
Iteration 1068; Population 512
Iteration 1069; Population 520
Iteration 1070; Population 523
Iteration 1071; Population 537
Iteration 1072; Population 551
Iteration 1073; Population 535
Iteration 1074; Population 529
Iteration 1075; Population 535
Iteration 1076; Population 531
Iteration 1077; Population 542
Iteration 1078; Population 540
Iteration 1079; Population 542
Iteration 1080; Population 549
Iteration 1081; Population 548
Iteration 1082; Population 554
Iteration 1083; Population 565
Iteration 1084; Population 557
Iteration 1085; Population 561
Iteration 1086; Population 565
Iteration 1087; Population 558
Iteration 1088; Population 572
Iteration 1089; Population 561
Iteration 1090; Population 544
Iteration 1091; Population 566
Iteration 1092; Population 580
Iteration 1093; Population 590
Iteration 1094; Population 610
Iteration 1095; Population 610
Iteration 1096; Population 615
Iteration 1097; Population 625
Iteration 1098; Population 616
Iteration 1099; Population 602
Iteration 1100; Population 632
Iteration 1101; Population 652
Iteration 1102; Population 602
Iteration 1103; Population 606
Iteration 1104; Population 603
